case,version,mode,RAG,success,iterations,created at,updated at,TotalToken,inputToken,outputToken
Open Energy Monitor,v3,summarized,0,1,3,2026-01-09 19:05:55+00:00,2026-01-09 19:10:08+00:00,84887,11271,73616
Open Energy Monitor,v2,notsummarized,0,1,17,2026-01-09 18:54:48+00:00,2026-01-09 19:15:29+00:00,258678,26182,232496
BookInfo,v1,notsummarized,0,0,30,2026-01-09 18:44:32+00:00,2026-01-09 19:05:50+00:00,486861,53457,433404
JetRacer,v1,notsummarized,1,1,10,2026-01-09 18:24:32+00:00,2026-01-09 18:44:26+00:00,351963,51654,300309
JetRacer,v3,summarized,1,1,5,2026-01-09 18:16:14+00:00,2026-01-09 18:24:27+00:00,184202,19047,165155
WordPress,v1,summarized,0,0,30,2026-01-09 17:58:18+00:00,2026-01-09 18:54:43+00:00,715392,79971,635421
BookInfo,v3,notsummarized,0,0,30,2026-01-09 17:08:14+00:00,2026-01-09 17:31:38+00:00,580029,57324,522705
BookInfo,v1,notsummarized,0,0,30,2026-01-09 16:16:18+00:00,2026-01-09 16:47:42+00:00,690794,83340,607454
BookInfo,v1,summarized,1,1,25,2026-01-09 14:18:18+00:00,2026-01-09 15:01:29+00:00,849626,87320,762306
JetRacer,v3,notsummarized,0,0,30,2026-01-09 13:59:54+00:00,2026-01-09 14:18:13+00:00,405269,45819,359450
BookInfo,v2,notsummarized,1,0,30,2026-01-09 13:24:36+00:00,2026-01-09 13:59:49+00:00,654062,59734,594328
Open Energy Monitor,v1,notsummarized,0,0,30,2026-01-09 12:59:35+00:00,2026-01-09 13:24:31+00:00,0,0,0
BookInfo,v1,notsummarized,1,1,8,2026-01-08 15:43:57+00:00,2026-01-08 15:54:10+00:00,176898,17408,159490
BookInfo,v3,notsummarized,0,0,30,2026-01-08 14:53:51+00:00,2026-01-08 15:17:49+00:00,664247,62432,601815
BookInfo,v2,notsummarized,0,0,30,2026-01-08 13:47:27+00:00,2026-01-08 14:06:10+00:00,495769,50570,445199
BookInfo,v1,summarized,0,0,30,2026-01-08 13:08:24+00:00,2026-01-08 13:47:27+00:00,923627,120947,802680
BookInfo,v1,notsummarized,0,0,30,2026-01-08 12:48:54+00:00,2026-01-08 13:08:24+00:00,461160,50348,410812
Stack4Things,v2,notsummarized,1,0,30,2026-01-08 11:58:54+00:00,2026-01-08 12:36:27+00:00,722986,85780,637206
Stack4Things,v1,summarized,1,1,6,2026-01-08 11:50:33+00:00,2026-01-08 11:58:54+00:00,145847,14972,130875
Stack4Things,v1,notsummarized,1,1,22,2026-01-08 11:28:24+00:00,2026-01-08 11:50:33+00:00,405564,42076,363488
Stack4Things,v3,summarized,0,0,30,2026-01-08 11:23:49+00:00,2026-01-08 11:28:24+00:00,131661,546,131115
Stack4Things,v3,notsummarized,0,0,30,2026-01-08 11:19:45+00:00,2026-01-08 11:23:49+00:00,114087,360,113727
Stack4Things,v2,summarized,0,0,30,2026-01-08 11:15:10+00:00,2026-01-08 11:19:45+00:00,131661,546,131115
Stack4Things,v2,notsummarized,0,0,30,2026-01-08 11:11:07+00:00,2026-01-08 11:15:10+00:00,114087,360,113727
Stack4Things,v1,summarized,0,0,30,2026-01-08 11:06:32+00:00,2026-01-08 11:11:06+00:00,131661,546,131115
Stack4Things,v1,notsummarized,0,0,30,2026-01-08 11:02:34+00:00,2026-01-08 11:06:32+00:00,114034,360,113674
Open Energy Monitor,v3,summarized,1,1,10,2026-01-08 10:48:31+00:00,2026-01-08 11:02:28+00:00,317531,26698,290833
Open Energy Monitor,v3,notsummarized,1,1,5,2026-01-08 10:40:59+00:00,2026-01-08 10:48:31+00:00,139489,11697,127792
Open Energy Monitor,v2,summarized,1,1,13,2026-01-08 10:26:33+00:00,2026-01-08 10:40:59+00:00,325491,30682,294809
Open Energy Monitor,v2,notsummarized,1,0,30,2026-01-08 09:51:50+00:00,2026-01-08 10:26:33+00:00,662141,77080,585061
Open Energy Monitor,v1,summarized,1,1,8,2026-01-08 09:41:47+00:00,2026-01-08 09:51:50+00:00,199596,20615,178981
Open Energy Monitor,v1,notsummarized,1,0,30,2026-01-08 09:09:30+00:00,2026-01-08 09:41:47+00:00,641280,70832,570448
Open Energy Monitor,v3,summarized,0,1,18,2026-01-08 08:51:24+00:00,2026-01-08 09:09:29+00:00,418954,40193,378761
Open Energy Monitor,v3,notsummarized,0,1,10,2026-01-08 08:40:33+00:00,2026-01-08 08:51:24+00:00,235101,26409,208692
BookInfo,v3,notsummarized,1,0,30,2026-01-08 07:42:26+00:00,2026-01-08 08:28:09+00:00,1111504,81057,1030447
BookInfo,v2,summarized,1,0,30,2026-01-08 06:40:09+00:00,2026-01-08 07:42:26+00:00,1282437,130299,1152138
BookInfo,v2,notsummarized,1,0,30,2026-01-08 05:58:42+00:00,2026-01-08 06:40:09+00:00,831912,77335,754577
BookInfo,v1,summarized,1,0,30,2026-01-08 05:06:40+00:00,2026-01-08 05:58:42+00:00,1032066,105507,926559
BookInfo,v1,notsummarized,1,0,30,2026-01-08 04:22:32+00:00,2026-01-08 05:06:40+00:00,832590,90271,742319
BookInfo,v3,summarized,0,0,30,2026-01-08 03:52:41+00:00,2026-01-08 04:22:32+00:00,737890,74080,663810
BookInfo,v3,notsummarized,0,0,30,2026-01-08 03:31:53+00:00,2026-01-08 03:52:41+00:00,577663,45497,532166
BookInfo,v2,summarized,0,0,30,2026-01-08 02:59:39+00:00,2026-01-08 03:31:53+00:00,769936,86739,683197
BookInfo,v2,notsummarized,0,0,30,2026-01-08 02:40:08+00:00,2026-01-08 02:59:39+00:00,505694,54571,451123
BookInfo,v1,summarized,0,0,30,2026-01-08 02:11:49+00:00,2026-01-08 02:40:08+00:00,693574,79058,614516
BookInfo,v1,notsummarized,0,0,30,2026-01-08 01:52:52+00:00,2026-01-08 02:11:49+00:00,468028,51377,416651
eWeLink,v3,summarized,0,1,9,2026-01-08 01:44:20+00:00,2026-01-08 01:52:47+00:00,180955,17680,163275
eWeLink,v3,notsummarized,0,1,4,2026-01-08 01:40:13+00:00,2026-01-08 01:44:19+00:00,63933,5832,58101
eWeLink,v2,summarized,0,0,30,2026-01-08 01:10:32+00:00,2026-01-08 01:40:13+00:00,654079,70899,583180
eWeLink,v2,notsummarized,0,1,24,2026-01-08 00:55:25+00:00,2026-01-08 01:10:32+00:00,324188,29740,294448
eWeLink,v1,summarized,0,1,7,2026-01-08 00:48:51+00:00,2026-01-08 00:55:24+00:00,134888,15753,119135
eWeLink,v1,notsummarized,0,1,4,2026-01-08 00:46:00+00:00,2026-01-08 00:48:50+00:00,49967,5422,44545
WordPress,v3,summarized,0,1,4,2026-01-08 00:40:04+00:00,2026-01-08 00:45:55+00:00,108316,12826,95490
WordPress,v3,notsummarized,0,1,27,2026-01-08 00:16:02+00:00,2026-01-08 00:40:03+00:00,609425,59178,550247
WordPress,v2,summarized,0,1,14,2026-01-08 00:01:12+00:00,2026-01-08 00:16:01+00:00,318281,31701,286580
WordPress,v2,notsummarized,0,1,14,2026-01-07 23:53:57+00:00,2026-01-08 00:01:11+00:00,170872,16452,154420
WordPress,v1,summarized,0,1,1,2026-01-07 23:52:22+00:00,2026-01-07 23:53:57+00:00,17525,3886,13639
WordPress,v1,notsummarized,0,1,5,2026-01-07 23:48:00+00:00,2026-01-07 23:52:22+00:00,64479,7754,56725
JetRacer,v2,notsummarized,1,0,30,2026-01-07 22:12:25+00:00,2026-01-07 22:48:49+00:00,744434,93799,650635
JetRacer,v1,notsummarized,1,0,30,2026-01-07 21:16:29+00:00,2026-01-07 22:01:34+00:00,826602,102149,724453
JetRacer,v3,summarized,0,1,20,2026-01-07 20:41:09+00:00,2026-01-07 21:16:29+00:00,744737,77316,667421
JetRacer,v3,notsummarized,0,1,12,2026-01-07 20:32:01+00:00,2026-01-07 20:41:09+00:00,180912,18196,162716
JetRacer,v2,summarized,0,0,30,2026-01-07 19:20:13+00:00,2026-01-07 20:32:01+00:00,1321437,167027,1154410
JetRacer,v2,notsummarized,0,0,30,2026-01-07 18:59:49+00:00,2026-01-07 19:20:13+00:00,403354,40359,362995
JetRacer,v1,summarized,0,0,30,2026-01-07 17:49:43+00:00,2026-01-07 18:59:49+00:00,1333860,184603,1149257
JetRacer,v1,notsummarized,0,0,30,2026-01-07 17:28:30+00:00,2026-01-07 17:49:42+00:00,442848,51904,390944
BookInfo,v3,summarized,1,0,30,2026-01-07 16:04:21+00:00,2026-01-07 17:28:25+00:00,1938025,161441,1776584
BookInfo,v2,summarized,1,0,30,2026-01-07 13:59:35+00:00,2026-01-07 15:15:32+00:00,1472570,177159,1295411
BookInfo,v2,notsummarized,1,0,30,2026-01-07 13:00:13+00:00,2026-01-07 13:59:35+00:00,1121621,122102,999519
BookInfo,v1,summarized,1,0,30,2026-01-07 11:44:00+00:00,2026-01-07 13:00:13+00:00,1482880,185802,1297078
BookInfo,v1,notsummarized,1,0,30,2026-01-07 10:47:13+00:00,2026-01-07 11:44:00+00:00,1055702,135595,920107
BookInfo,v3,summarized,0,1,21,2026-01-07 10:13:15+00:00,2026-01-07 10:47:12+00:00,769055,70921,698134
BookInfo,v3,notsummarized,0,0,30,2026-01-07 09:49:39+00:00,2026-01-07 10:13:15+00:00,610196,57142,553054
BookInfo,v2,summarized,0,0,30,2026-01-07 09:09:20+00:00,2026-01-07 09:49:39+00:00,958370,119292,839078
BookInfo,v2,notsummarized,0,0,30,2026-01-07 08:46:40+00:00,2026-01-07 09:09:20+00:00,542762,57868,484894
BookInfo,v1,summarized,0,0,30,2026-01-07 08:12:42+00:00,2026-01-07 08:46:40+00:00,828612,100587,728025
BookInfo,v1,notsummarized,0,0,30,2026-01-07 07:56:15+00:00,2026-01-07 08:12:42+00:00,424418,42840,381578
Stack4Things,v3,notsummarized,1,1,21,2026-01-07 02:57:07+00:00,2026-01-07 03:24:33+00:00,514065,47405,466660
Stack4Things,v2,summarized,1,0,30,2026-01-07 02:02:38+00:00,2026-01-07 02:57:07+00:00,1115959,126275,989684
Stack4Things,v2,notsummarized,1,0,30,2026-01-07 01:27:36+00:00,2026-01-07 02:02:38+00:00,621816,59086,562730
Stack4Things,v1,summarized,1,0,30,2026-01-07 00:25:47+00:00,2026-01-07 01:27:36+00:00,1175431,135171,1040260
Stack4Things,v1,notsummarized,1,0,30,2026-01-06 23:52:33+00:00,2026-01-07 00:25:47+00:00,574429,57388,517041
Stack4Things,v3,summarized,0,0,30,2026-01-06 23:49:22+00:00,2026-01-06 23:52:33+00:00,118243,503,117740
Stack4Things,v3,notsummarized,0,0,30,2026-01-06 23:45:12+00:00,2026-01-06 23:49:22+00:00,115926,480,115446
Stack4Things,v2,summarized,0,0,30,2026-01-06 23:42:03+00:00,2026-01-06 23:45:12+00:00,118243,503,117740
Stack4Things,v2,notsummarized,0,0,30,2026-01-06 23:37:45+00:00,2026-01-06 23:42:03+00:00,115926,480,115446
Stack4Things,v1,summarized,0,0,30,2026-01-06 23:34:40+00:00,2026-01-06 23:37:45+00:00,118243,503,117740
Stack4Things,v1,notsummarized,0,0,30,2026-01-06 23:30:26+00:00,2026-01-06 23:34:40+00:00,115953,480,115473
Open Energy Monitor,v3,summarized,1,1,20,2026-01-06 23:03:30+00:00,2026-01-06 23:30:21+00:00,688520,52682,635838
Open Energy Monitor,v3,notsummarized,1,0,30,2026-01-06 22:28:24+00:00,2026-01-06 23:03:30+00:00,656383,71393,584990
Open Energy Monitor,v2,summarized,1,0,30,2026-01-06 21:48:29+00:00,2026-01-06 22:28:24+00:00,894122,80789,813333
Open Energy Monitor,v2,notsummarized,1,0,30,2026-01-06 21:29:54+00:00,2026-01-06 21:48:29+00:00,423055,34272,388783
Open Energy Monitor,v3,summarized,0,0,30,2026-01-06 19:56:10+00:00,2026-01-06 20:55:51+00:00,1084785,135330,949455
Open Energy Monitor,v3,notsummarized,0,0,30,2026-01-06 19:24:08+00:00,2026-01-06 19:56:10+00:00,765934,73656,692278
Open Energy Monitor,v2,summarized,0,0,30,2026-01-06 18:24:27+00:00,2026-01-06 19:24:08+00:00,1084785,135330,949455
Open Energy Monitor,v1,notsummarized,0,1,8,2026-01-06 18:08:18+00:00,2026-01-06 18:14:37+00:00,137402,16505,120897
JetRacer,v3,summarized,1,1,4,2026-01-06 18:00:39+00:00,2026-01-06 18:08:13+00:00,146354,19373,126981
JetRacer,v3,notsummarized,1,1,3,2026-01-06 17:56:22+00:00,2026-01-06 18:00:39+00:00,60490,8332,52158
JetRacer,v2,summarized,1,1,6,2026-01-06 17:45:38+00:00,2026-01-06 17:56:21+00:00,212279,28162,184117
JetRacer,v2,notsummarized,1,0,30,2026-01-06 16:59:41+00:00,2026-01-06 17:45:38+00:00,912203,120039,792164
JetRacer,v1,notsummarized,1,1,15,2026-01-06 16:23:08+00:00,2026-01-06 16:40:41+00:00,340097,41891,298206
JetRacer,v3,summarized,0,1,5,2026-01-06 16:17:16+00:00,2026-01-06 16:23:08+00:00,118961,14127,104834
JetRacer,v3,notsummarized,0,0,30,2026-01-06 15:57:17+00:00,2026-01-06 16:17:16+00:00,456423,46444,409979
JetRacer,v2,summarized,0,1,11,2026-01-06 15:42:40+00:00,2026-01-06 15:57:17+00:00,268946,25757,243189
JetRacer,v2,notsummarized,0,0,30,2026-01-06 15:22:45+00:00,2026-01-06 15:42:40+00:00,371815,38164,333651
JetRacer,v1,summarized,0,1,26,2026-01-06 14:45:13+00:00,2026-01-06 15:22:45+00:00,706337,79296,627041
JetRacer,v1,notsummarized,0,1,29,2026-01-06 14:24:27+00:00,2026-01-06 14:45:13+00:00,411763,42137,369626
BookInfo,v3,summarized,1,0,30,2026-01-06 13:18:16+00:00,2026-01-06 14:24:22+00:00,1309370,107399,1201971
BookInfo,v3,notsummarized,1,0,30,2026-01-06 12:34:32+00:00,2026-01-06 13:18:16+00:00,971434,74185,897249
BookInfo,v2,summarized,1,0,30,2026-01-06 11:40:18+00:00,2026-01-06 12:34:32+00:00,1169422,105706,1063716
BookInfo,v2,notsummarized,1,1,21,2026-01-06 11:12:47+00:00,2026-01-06 11:40:17+00:00,494420,42358,452062
BookInfo,v1,summarized,1,1,29,2026-01-06 10:19:28+00:00,2026-01-06 11:12:46+00:00,1021998,105612,916386
BookInfo,v1,notsummarized,1,1,10,2026-01-06 10:06:11+00:00,2026-01-06 10:19:28+00:00,225330,23214,202116
BookInfo,v3,summarized,0,1,13,2026-01-06 09:47:50+00:00,2026-01-06 10:06:11+00:00,449454,47917,401537
BookInfo,v3,notsummarized,0,0,30,2026-01-06 09:27:47+00:00,2026-01-06 09:47:50+00:00,594386,50594,543792
BookInfo,v2,summarized,0,0,30,2026-01-06 08:48:31+00:00,2026-01-06 09:27:47+00:00,992923,113845,879078
BookInfo,v2,notsummarized,0,0,30,2026-01-06 08:27:33+00:00,2026-01-06 08:48:31+00:00,512504,52640,459864
BookInfo,v1,summarized,0,0,30,2026-01-06 07:57:59+00:00,2026-01-06 08:27:33+00:00,727926,90527,637399
BookInfo,v1,notsummarized,0,0,30,2026-01-06 07:33:45+00:00,2026-01-06 07:57:59+00:00,568843,68190,500653
eWeLink,v3,summarized,0,1,14,2026-01-06 07:16:06+00:00,2026-01-06 07:33:40+00:00,351361,33828,317533
eWeLink,v3,notsummarized,0,1,12,2026-01-06 07:03:54+00:00,2026-01-06 07:16:06+00:00,222398,21792,200606
eWeLink,v2,summarized,0,1,15,2026-01-06 06:47:08+00:00,2026-01-06 07:03:54+00:00,334125,36515,297610
eWeLink,v2,notsummarized,0,1,9,2026-01-06 06:40:58+00:00,2026-01-06 06:47:07+00:00,122833,11700,111133
eWeLink,v1,summarized,0,1,7,2026-01-06 06:34:04+00:00,2026-01-06 06:40:58+00:00,130219,14217,116002
eWeLink,v1,notsummarized,0,0,30,2026-01-06 06:12:09+00:00,2026-01-06 06:34:04+00:00,492798,55184,437614
WordPress,v3,summarized,0,0,30,2026-01-06 05:38:03+00:00,2026-01-06 06:12:04+00:00,796762,73252,723510
WordPress,v3,notsummarized,0,1,10,2026-01-06 05:27:36+00:00,2026-01-06 05:38:03+00:00,227161,20726,206435
WordPress,v2,summarized,0,1,7,2026-01-06 05:19:20+00:00,2026-01-06 05:27:36+00:00,165249,18910,146339
WordPress,v2,notsummarized,0,1,14,2026-01-06 05:10:17+00:00,2026-01-06 05:19:20+00:00,208409,21831,186578
WordPress,v1,summarized,0,1,3,2026-01-06 05:06:53+00:00,2026-01-06 05:10:17+00:00,60129,7998,52131
WordPress,v1,notsummarized,0,1,3,2026-01-06 05:04:57+00:00,2026-01-06 05:06:53+00:00,34351,4373,29978
Stack4Things,v3,summarized,1,0,30,2026-01-06 04:06:35+00:00,2026-01-06 05:04:52+00:00,1221315,94379,1126936
Stack4Things,v3,notsummarized,1,0,30,2026-01-06 03:26:26+00:00,2026-01-06 04:06:35+00:00,768109,74935,693174
Stack4Things,v2,summarized,1,0,30,2026-01-06 02:40:01+00:00,2026-01-06 03:26:26+00:00,964698,91798,872900
Stack4Things,v2,notsummarized,1,0,30,2026-01-06 02:02:12+00:00,2026-01-06 02:40:01+00:00,654566,63870,590696
Stack4Things,v1,summarized,1,0,30,2026-01-06 01:16:03+00:00,2026-01-06 02:02:12+00:00,944077,98914,845163
Stack4Things,v1,notsummarized,1,0,30,2026-01-06 00:41:25+00:00,2026-01-06 01:16:03+00:00,662912,78286,584626
Stack4Things,v3,summarized,0,0,30,2026-01-06 00:36:17+00:00,2026-01-06 00:41:25+00:00,137921,754,137167
Stack4Things,v3,notsummarized,0,0,30,2026-01-06 00:32:45+00:00,2026-01-06 00:36:17+00:00,111311,480,110831
Stack4Things,v2,summarized,0,0,30,2026-01-06 00:27:37+00:00,2026-01-06 00:32:45+00:00,137921,754,137167
Stack4Things,v2,notsummarized,0,0,30,2026-01-06 00:24:14+00:00,2026-01-06 00:27:37+00:00,111311,480,110831
Stack4Things,v1,summarized,0,0,30,2026-01-06 00:19:06+00:00,2026-01-06 00:24:14+00:00,137921,754,137167
Stack4Things,v1,notsummarized,0,0,30,2026-01-06 00:16:13+00:00,2026-01-06 00:19:06+00:00,107394,360,107034
Open Energy Monitor,v3,summarized,1,1,10,2026-01-06 00:01:51+00:00,2026-01-06 00:16:08+00:00,294392,25692,268700
Open Energy Monitor,v3,notsummarized,1,1,7,2026-01-05 23:53:37+00:00,2026-01-06 00:01:51+00:00,190850,19517,171333
Open Energy Monitor,v2,summarized,1,0,30,2026-01-05 23:14:05+00:00,2026-01-05 23:53:37+00:00,930980,104733,826247
Open Energy Monitor,v2,notsummarized,1,1,14,2026-01-05 22:58:20+00:00,2026-01-05 23:14:04+00:00,326791,33487,293304
Open Energy Monitor,v1,summarized,1,1,7,2026-01-05 22:49:10+00:00,2026-01-05 22:58:19+00:00,194843,23387,171456
Open Energy Monitor,v1,notsummarized,1,1,17,2026-01-05 22:30:58+00:00,2026-01-05 22:49:10+00:00,364333,41503,322830
Open Energy Monitor,v3,summarized,0,1,6,2026-01-05 22:24:29+00:00,2026-01-05 22:30:57+00:00,141952,14822,127130
Open Energy Monitor,v3,notsummarized,0,1,6,2026-01-05 22:19:00+00:00,2026-01-05 22:24:29+00:00,111130,12958,98172
Open Energy Monitor,v2,summarized,0,1,6,2026-01-05 22:13:10+00:00,2026-01-05 22:19:00+00:00,130711,14771,115940
Open Energy Monitor,v2,notsummarized,0,0,30,2026-01-05 21:40:57+00:00,2026-01-05 22:13:10+00:00,680183,89987,590196
Open Energy Monitor,v1,summarized,0,0,30,2026-01-05 21:06:38+00:00,2026-01-05 21:40:57+00:00,747116,83086,664030
Open Energy Monitor,v1,notsummarized,0,0,30,2026-01-05 20:29:08+00:00,2026-01-05 21:06:38+00:00,754003,102745,651258
JetRacer,v2,notsummarized,1,1,5,2026-01-05 19:53:23+00:00,2026-01-05 20:00:51+00:00,130788,15037,115751
JetRacer,v1,summarized,1,1,12,2026-01-05 19:25:51+00:00,2026-01-05 19:53:22+00:00,542522,71493,471029
JetRacer,v1,notsummarized,1,1,6,2026-01-05 19:17:38+00:00,2026-01-05 19:25:51+00:00,146351,19742,126609
JetRacer,v3,summarized,0,1,13,2026-01-05 19:03:54+00:00,2026-01-05 19:17:38+00:00,293706,23727,269979
JetRacer,v3,notsummarized,0,1,11,2026-01-05 18:55:56+00:00,2026-01-05 19:03:54+00:00,157858,15692,142166
JetRacer,v2,summarized,0,0,30,2026-01-05 18:32:19+00:00,2026-01-05 18:55:56+00:00,511949,47366,464583
JetRacer,v2,notsummarized,0,0,30,2026-01-05 18:15:09+00:00,2026-01-05 18:32:19+00:00,346632,35603,311029
JetRacer,v1,summarized,0,1,27,2026-01-05 17:48:13+00:00,2026-01-05 18:15:09+00:00,536977,49001,487976
JetRacer,v1,notsummarized,0,0,30,2026-01-05 17:27:27+00:00,2026-01-05 17:48:13+00:00,438849,48325,390524
BookInfo,v3,summarized,1,1,21,2026-01-05 16:43:27+00:00,2026-01-05 17:27:21+00:00,878231,79079,799152
BookInfo,v3,notsummarized,1,0,30,2026-01-05 15:52:35+00:00,2026-01-05 16:43:27+00:00,921100,72889,848211
BookInfo,v2,summarized,1,0,30,2026-01-05 14:59:21+00:00,2026-01-05 15:52:35+00:00,1100379,110714,989665
BookInfo,v2,notsummarized,1,0,30,2026-01-05 14:07:53+00:00,2026-01-05 14:59:21+00:00,1000411,101044,899367
BookInfo,v1,summarized,1,0,30,2026-01-05 13:16:00+00:00,2026-01-05 14:07:53+00:00,1039659,103518,936141
BookInfo,v1,notsummarized,1,0,30,2026-01-05 12:31:28+00:00,2026-01-05 13:16:00+00:00,796248,82834,713414
BookInfo,v3,notsummarized,0,1,5,2026-01-05 12:23:55+00:00,2026-01-05 12:28:13+00:00,114513,10552,103961
BookInfo,v2,summarized,0,0,30,2026-01-05 11:51:51+00:00,2026-01-05 12:23:55+00:00,773928,83389,690539
BookInfo,v2,notsummarized,0,1,27,2026-01-05 11:32:34+00:00,2026-01-05 11:51:50+00:00,490766,54258,436508
BookInfo,v1,summarized,0,0,30,2026-01-05 10:53:23+00:00,2026-01-05 11:32:34+00:00,906511,121881,784630
BookInfo,v1,notsummarized,0,0,30,2026-01-05 10:32:20+00:00,2026-01-05 10:53:23+00:00,505668,59363,446305
JetRacer,v2,summarized,1,1,11,2025-12-21 20:40:18+00:00,2025-12-21 21:09:24+00:00,548729,77055,471674
JetRacer,v2,notsummarized,1,1,13,2025-12-21 20:10:19+00:00,2025-12-21 20:40:15+00:00,534330,76294,458036
JetRacer,v1,summarized,1,1,11,2025-12-21 19:42:30+00:00,2025-12-21 20:10:19+00:00,540576,76029,464547
JetRacer,v1,notsummarized,1,1,12,2025-12-21 19:18:16+00:00,2025-12-21 19:42:30+00:00,454992,69380,385612
JetRacer,v3,summarized,0,1,8,2025-12-21 19:05:00+00:00,2025-12-21 19:18:16+00:00,266396,27954,238442
JetRacer,v3,notsummarized,0,1,4,2025-12-21 19:01:10+00:00,2025-12-21 19:04:59+00:00,56190,5228,50962
JetRacer,v2,summarized,0,0,30,2025-12-21 18:17:00+00:00,2025-12-21 19:01:10+00:00,904114,108257,795857
JetRacer,v2,notsummarized,0,0,30,2025-12-21 17:58:50+00:00,2025-12-21 18:17:00+00:00,350779,36390,314389
JetRacer,v1,summarized,0,0,30,2025-12-21 17:11:56+00:00,2025-12-21 17:58:50+00:00,861343,93224,768119
JetRacer,v1,notsummarized,0,0,30,2025-12-21 16:44:56+00:00,2025-12-21 17:11:56+00:00,451014,50430,400584
BookInfo,v3,summarized,1,1,12,2025-12-21 16:13:37+00:00,2025-12-21 16:44:50+00:00,627740,47765,579975
BookInfo,v3,notsummarized,1,1,17,2025-12-21 15:38:59+00:00,2025-12-21 16:13:37+00:00,712057,56237,655820
BookInfo,v2,notsummarized,1,1,7,2025-12-21 14:34:36+00:00,2025-12-21 14:45:26+00:00,172622,20283,152339
BookInfo,v1,summarized,1,1,28,2025-12-21 13:34:38+00:00,2025-12-21 14:34:35+00:00,1068715,116490,952225
BookInfo,v1,notsummarized,1,0,30,2025-12-21 12:46:33+00:00,2025-12-21 13:34:38+00:00,839702,91652,748050
BookInfo,v3,summarized,0,0,30,2025-12-21 12:06:45+00:00,2025-12-21 12:46:32+00:00,846339,96244,750095
BookInfo,v3,notsummarized,0,0,30,2025-12-21 11:40:57+00:00,2025-12-21 12:06:45+00:00,647177,58407,588770
BookInfo,v2,summarized,0,0,30,2025-12-21 10:52:16+00:00,2025-12-21 11:40:56+00:00,1027918,124423,903495
BookInfo,v2,notsummarized,0,0,30,2025-12-21 10:28:38+00:00,2025-12-21 10:52:16+00:00,545789,58764,487025
BookInfo,v1,summarized,0,1,9,2025-12-21 10:18:53+00:00,2025-12-21 10:28:38+00:00,207369,24886,182483
BookInfo,v1,notsummarized,0,0,30,2025-12-21 09:58:35+00:00,2025-12-21 10:18:53+00:00,461445,48145,413300
eWeLink,v3,summarized,0,1,26,2025-12-21 09:24:48+00:00,2025-12-21 09:58:29+00:00,666647,68854,597793
eWeLink,v3,notsummarized,0,1,8,2025-12-21 09:16:39+00:00,2025-12-21 09:24:47+00:00,149170,14317,134853
eWeLink,v2,summarized,0,1,25,2025-12-21 08:50:57+00:00,2025-12-21 09:16:38+00:00,528279,49714,478565
eWeLink,v2,notsummarized,0,0,30,2025-12-21 08:26:11+00:00,2025-12-21 08:50:56+00:00,495893,55407,440486
eWeLink,v1,notsummarized,0,0,30,2025-12-21 07:48:45+00:00,2025-12-21 08:12:34+00:00,496736,55988,440748
WordPress,v3,summarized,0,1,6,2025-12-21 07:40:53+00:00,2025-12-21 07:48:40+00:00,151819,17600,134219
WordPress,v3,notsummarized,0,1,7,2025-12-21 07:34:12+00:00,2025-12-21 07:40:52+00:00,136032,10483,125549
WordPress,v2,summarized,0,1,11,2025-12-21 07:22:55+00:00,2025-12-21 07:34:11+00:00,238832,27141,211691
WordPress,v2,notsummarized,0,0,30,2025-12-21 07:08:36+00:00,2025-12-21 07:22:55+00:00,369062,31320,337742
WordPress,v1,summarized,0,0,30,2025-12-21 06:39:08+00:00,2025-12-21 07:08:36+00:00,685593,80298,605295
WordPress,v1,notsummarized,0,1,17,2025-12-21 06:29:59+00:00,2025-12-21 06:39:08+00:00,195181,18443,176738
Stack4Things,v3,summarized,1,0,30,2025-12-21 05:32:46+00:00,2025-12-21 06:29:54+00:00,1118360,93286,1025074
Stack4Things,v3,notsummarized,1,0,30,2025-12-21 04:56:32+00:00,2025-12-21 05:32:45+00:00,707227,78299,628928
Stack4Things,v2,summarized,1,0,30,2025-12-21 03:56:07+00:00,2025-12-21 04:56:32+00:00,1211148,137579,1073569
Stack4Things,v2,notsummarized,1,1,5,2025-12-21 03:50:33+00:00,2025-12-21 03:56:07+00:00,93615,12366,81249
Stack4Things,v1,notsummarized,1,0,30,2025-12-21 02:56:55+00:00,2025-12-21 03:32:40+00:00,669032,75832,593200
Stack4Things,v3,summarized,0,0,30,2025-12-21 02:53:44+00:00,2025-12-21 02:56:55+00:00,115746,511,115235
Stack4Things,v3,notsummarized,0,0,30,2025-12-21 02:49:01+00:00,2025-12-21 02:53:44+00:00,117360,480,116880
Stack4Things,v2,summarized,0,0,30,2025-12-21 02:45:51+00:00,2025-12-21 02:49:01+00:00,115746,511,115235
Stack4Things,v2,notsummarized,0,0,30,2025-12-21 02:41:16+00:00,2025-12-21 02:45:51+00:00,117360,480,116880
Stack4Things,v1,summarized,0,0,30,2025-12-21 02:38:01+00:00,2025-12-21 02:41:16+00:00,115746,511,115235
Stack4Things,v1,notsummarized,0,0,30,2025-12-21 02:34:36+00:00,2025-12-21 02:38:01+00:00,110524,360,110164
Open Energy Monitor,v3,summarized,1,1,19,2025-12-21 02:09:14+00:00,2025-12-21 02:34:31+00:00,595219,58332,536887
